gene_identifier,gene_symbol,name,mapped_ncbi_identifier,comment
ENSMUSG00000054932,Afp,alpha fetoprotein,NCBIGene:11576,
ENSMUSG00000033722,BC034090,cDNA sequence BC034090,NCBIGene:207792,
ENSMUSG00000043340,6530409C15Rik,RIKEN cDNA 6530409C15 gene,,
ENSMUSG00000001661,Hoxc6,homeobox C6,NCBIGene:15425,
ENSMUSG00000079057,Cyp4v3,"cytochrome P450, family 4, subfamily v, polypeptide 3",NCBIGene:102294,
ENSMUSG00000110007,Gm45352,predicted gene 45352,,
ENSMUSG00000105993,Tex13c2,TEX13 family member C2,NCBIGene:100039899,
ENSMUSG00000040350,Trim7,tripartite motif-containing 7,NCBIGene:94089,
ENSMUSG00000015957,Wnt11,"wingless-type MMTV integration site family, member 11",NCBIGene:22411,
ENSMUSG00000042195,Slc35f2,"solute carrier family 35, member F2",NCBIGene:72022,
ENSMUSG00000040364,Sec1,secretory blood group 1,NCBIGene:56546,
ENSMUSG00000114491,A230103O09Rik,RIKEN cDNA A230103O09 gene,,
ENSMUSG00000023336,Wfdc1,WAP four-disulfide core domain 1,NCBIGene:67866,
ENSMUSG00000031604,Msmo1,methylsterol monoxygenase 1,NCBIGene:66234,
ENSMUSG00000033053,1700028P14Rik,RIKEN cDNA 1700028P14 gene,NCBIGene:67483,
ENSMUSG00000043366,Olfr78,olfactory receptor 78,NCBIGene:170639,
ENSMUSG00000022383,Ppara,peroxisome proliferator activated receptor alpha,NCBIGene:19013,
ENSMUSG00000087037,4930432L08Rik,RIKEN cDNA 4930432L08 gene,NCBIGene:74621,
ENSMUSG00000108351,Gm36736,"predicted gene, 36736",,
ENSMUSG00000031574,Star,steroidogenic acute regulatory protein,NCBIGene:20845,
ENSMUSG00000099051,Gm27241,predicted gene 27241,,
ENSMUSG00000067001,Serpinb7,"serine (or cysteine) peptidase inhibitor, clade B, member 7",NCBIGene:116872,
ENSMUSG00000033597,Caskin1,CASK interacting protein 1,NCBIGene:268932,
ENSMUSG00000027180,Fbxo3,F-box protein 3,NCBIGene:57443,
ENSMUSG00000031066,Usp11,ubiquitin specific peptidase 11,NCBIGene:236733,
ENSMUSG00000033632,AW554918,expressed sequence AW554918,NCBIGene:225289,
ENSMUSG00000051674,Dcun1d4,"DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)",NCBIGene:100737,
ENSMUSG00000038236,Hoxa7,homeobox A7,NCBIGene:15404,
ENSMUSG00000024512,Dynap,dynactin associated protein,NCBIGene:75577,
ENSMUSG00000004187,Kifc2,kinesin family member C2,NCBIGene:16581,
ENSMUSG00000020193,Zpbp,zona pellucida binding protein,NCBIGene:53604,
ENSMUSG00000040139,9430038I01Rik,RIKEN cDNA 9430038I01 gene,NCBIGene:77252,
ENSMUSG00000001663,Gstt1,"glutathione S-transferase, theta 1",NCBIGene:14871,
ENSMUSG00000012350,Ehf,ets homologous factor,NCBIGene:13661,
ENSMUSG00000050390,C77080,expressed sequence C77080,NCBIGene:97130,
ENSMUSG00000035694,Caps2,calcyphosphine 2,NCBIGene:353025,
ENSMUSG00000050332,Amer1,APC membrane recruitment 1,NCBIGene:72345,
ENSMUSG00000003421,Nosip,nitric oxide synthase interacting protein,NCBIGene:66394,
ENSMUSG00000020156,Pwwp3a,"PWWP domain containing 3A, DNA repair factor",NCBIGene:68114,
ENSMUSG00000017561,Crlf3,cytokine receptor-like factor 3,NCBIGene:54394,
ENSMUSG00000040473,Cfap69,cilia and flagella associated protein 69,NCBIGene:207686,
ENSMUSG00000025212,Sfxn3,sideroflexin 3,NCBIGene:94280,
ENSMUSG00000027219,Slc28a2,"solute carrier family 28 (sodium-coupled nucleoside transporter), member 2",NCBIGene:269346,
ENSMUSG00000117422,CJ186046Rik,Riken cDNA CJ186046 gene,,
ENSMUSG00000035342,Lzts2,"leucine zipper, putative tumor suppressor 2",NCBIGene:226154,
ENSMUSG00000066510,Ankdd1a,ankyrin repeat and death domain containing 1A,NCBIGene:330963,
ENSMUSG00000001785,Pwp1,"PWP1 homolog, endonuclein",NCBIGene:103136,
ENSMUSG00000019528,Gyg,glycogenin,NCBIGene:27357,
ENSMUSG00000016477,E2f3,E2F transcription factor 3,NCBIGene:13557,
ENSMUSG00000032182,Yipf2,"Yip1 domain family, member 2",NCBIGene:74766,
ENSMUSG00000097710,2310026I22Rik,RIKEN cDNA 2310026I22 gene,,
ENSMUSG00000032083,Apoa1,apolipoprotein A-I,NCBIGene:11806,
ENSMUSG00000028538,St3gal3,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3",NCBIGene:20441,
ENSMUSG00000051251,Nhlh1,nescient helix loop helix 1,NCBIGene:18071,
ENSMUSG00000028480,Glipr2,GLI pathogenesis-related 2,NCBIGene:384009,
ENSMUSG00000085784,Gm12158,predicted gene 12158,,
ENSMUSG00000110286,Gm7706,predicted gene 7706,,
ENSMUSG00000074003,Gucy2d,guanylate cyclase 2d,NCBIGene:14918,
ENSMUSG00000099190,Gm27188,predicted gene 27188,,
ENSMUSG00000038295,Atg9b,autophagy related 9B,NCBIGene:213948,
ENSMUSG00000026944,Abca2,"ATP-binding cassette, sub-family A (ABC1), member 2",NCBIGene:11305,
ENSMUSG00000091264,Smim13,small integral membrane protein 13,NCBIGene:108934,
ENSMUSG00000055053,Nfic,nuclear factor I/C,NCBIGene:18029,
ENSMUSG00000028843,Sh3bgrl3,SH3 domain binding glutamic acid-rich protein-like 3,NCBIGene:73723,
ENSMUSG00000029030,Tprgl,transformation related protein 63 regulated like,NCBIGene:67808,
ENSMUSG00000059518,Znhit1,"zinc finger, HIT domain containing 1",NCBIGene:70103,
ENSMUSG00000085980,Gm12408,predicted gene 12408,NCBIGene:100040557,
ENSMUSG00000070601,Vmn2r84,"vomeronasal 2, receptor 84",NCBIGene:625068,
ENSMUSG00000035722,Abca7,"ATP-binding cassette, sub-family A (ABC1), member 7",NCBIGene:27403,
ENSMUSG00000002017,Fam98a,"family with sequence similarity 98, member A",NCBIGene:72722,
ENSMUSG00000047260,Emc6,ER membrane protein complex subunit 6,NCBIGene:66048,
ENSMUSG00000031948,Kars,lysyl-tRNA synthetase,NCBIGene:85305,
ENSMUSG00000047867,Gimap6,"GTPase, IMAP family member 6",NCBIGene:231931,
ENSMUSG00000050103,Agmo,alkylglycerol monooxygenase,NCBIGene:319660,
ENSMUSG00000018669,Cdk5rap3,CDK5 regulatory subunit associated protein 3,NCBIGene:80280,
ENSMUSG00000046160,Olig1,oligodendrocyte transcription factor 1,NCBIGene:50914,
ENSMUSG00000040287,Stac3,SH3 and cysteine rich domain 3,NCBIGene:237611,
ENSMUSG00000028708,Mknk1,MAP kinase-interacting serine/threonine kinase 1,NCBIGene:17346,
ENSMUSG00000041199,Rpusd1,RNA pseudouridylate synthase domain containing 1,NCBIGene:106707,
ENSMUSG00000104718,Gm31752,"predicted gene, 31752",NCBIGene:102634084,
ENSMUSG00000030731,Syt3,synaptotagmin III,NCBIGene:20981,
ENSMUSG00000021200,Asb2,ankyrin repeat and SOCS box-containing 2,NCBIGene:65256,
ENSMUSG00000084883,Ccdc85c,coiled-coil domain containing 85C,NCBIGene:668158,
ENSMUSG00000044313,Mab21l3,mab-21-like 3,NCBIGene:242125,
ENSMUSG00000039851,4932438H23Rik,RIKEN cDNA 4932438H23 gene,NCBIGene:74387,
ENSMUSG00000073705,Cenps,centromere protein S,NCBIGene:69928,
ENSMUSG00000086405,9330198N18Rik,RIKEN cDNA 9330198N18 gene,,
ENSMUSG00000111938,2900045O20Rik,RIKEN cDNA 2900045O20 gene,,
ENSMUSG00000116652,B830017H08Rik,RIKEN cDNA B830017H08 gene,,
ENSMUSG00000032135,Mcam,melanoma cell adhesion molecule,NCBIGene:84004,
ENSMUSG00000036353,P2ry12,"purinergic receptor P2Y, G-protein coupled 12",NCBIGene:70839,
ENSMUSG00000025329,Padi1,"peptidyl arginine deiminase, type I",NCBIGene:18599,
ENSMUSG00000109598,Gm36356,"predicted gene, 36356",,
ENSMUSG00000039865,Slc44a3,"solute carrier family 44, member 3",NCBIGene:213603,
ENSMUSG00000024379,Tslp,thymic stromal lymphopoietin,NCBIGene:53603,
ENSMUSG00000048602,Morc2b,microrchidia 2B,NCBIGene:240069,
ENSMUSG00000055137,Sugct,succinyl-CoA glutarate-CoA transferase,NCBIGene:192136,
ENSMUSG00000073421,H2-Ab1,"histocompatibility 2, class II antigen A, beta 1",NCBIGene:14961,
ENSMUSG00000089871,Speer4cos,"spermatogenesis associated glutamate (E)-rich protein 4C, opposite strand transcript",NCBIGene:75858,
ENSMUSG00000005994,Tyrp1,tyrosinase-related protein 1,NCBIGene:22178,
ENSMUSG00000050052,Tdrp,testis development related protein,NCBIGene:72148,
ENSMUSG00000032194,Kank2,KN motif and ankyrin repeat domains 2,NCBIGene:235041,
ENSMUSG00000000346,Dazap2,DAZ associated protein 2,NCBIGene:23994,
ENSMUSG00000087507,Gm16141,predicted gene 16141,,
ENSMUSG00000085645,Hoxb5os,"homeobox B5 and homeobox B6, opposite strand",NCBIGene:75395,
ENSMUSG00000045232,Rln3,relaxin 3,NCBIGene:212108,
ENSMUSG00000102046,2810404M03Rik,RIKEN cDNA 2810404M03 gene,NCBIGene:69966,
ENSMUSG00000027022,Xirp2,xin actin-binding repeat containing 2,NCBIGene:241431,
ENSMUSG00000101797,Gm29266,predicted gene 29266,,
ENSMUSG00000055333,Fat2,FAT atypical cadherin 2,NCBIGene:245827,
ENSMUSG00000000385,Tmprss2,"transmembrane protease, serine 2",NCBIGene:50528,
ENSMUSG00000097840,Gm26756,"predicted gene, 26756",,
ENSMUSG00000036167,Pphln1,periphilin 1,NCBIGene:223828,
ENSMUSG00000029073,Cptp,ceramide-1-phosphate transfer protein,NCBIGene:79554,
ENSMUSG00000072946,Ptgr2,prostaglandin reductase 2,NCBIGene:77219,
ENSMUSG00000020105,Lrig3,leucine-rich repeats and immunoglobulin-like domains 3,NCBIGene:320398,
ENSMUSG00000114833,Gm41192,"predicted gene, 41192",,
ENSMUSG00000039231,Suv39h1,suppressor of variegation 3-9 1,NCBIGene:20937,
ENSMUSG00000046387,Pcdhb17,protocadherin beta 17,NCBIGene:93888,
ENSMUSG00000044641,Pard6b,par-6 family cell polarity regulator beta,NCBIGene:58220,
ENSMUSG00000099994,1700024B18Rik,RIKEN cDNA 1700024B18 gene,NCBIGene:69393,
ENSMUSG00000032419,Tbx18,T-box18,NCBIGene:76365,
ENSMUSG00000031949,Adat1,"adenosine deaminase, tRNA-specific 1",NCBIGene:30947,
ENSMUSG00000010663,Fads1,fatty acid desaturase 1,NCBIGene:76267,
ENSMUSG00000002699,Lcp2,lymphocyte cytosolic protein 2,NCBIGene:16822,
ENSMUSG00000109672,Gm45639,predicted gene 45639,,
ENSMUSG00000028280,Gabrr1,"gamma-aminobutyric acid (GABA) C receptor, subunit rho 1",NCBIGene:14408,
ENSMUSG00000054169,Ceacam10,carcinoembryonic antigen-related cell adhesion molecule 10,NCBIGene:26366,
ENSMUSG00000005465,Il27ra,"interleukin 27 receptor, alpha",NCBIGene:50931,
ENSMUSG00000017004,Svs5,seminal vesicle secretory protein 5,NCBIGene:20944,
ENSMUSG00000028028,Alpk1,alpha-kinase 1,NCBIGene:71481,
ENSMUSG00000090534,Gm4675,predicted gene 4675,NCBIGene:105245869,
ENSMUSG00000024269,Tpgs2,tubulin polyglutamylase complex subunit 2,NCBIGene:66648,
ENSMUSG00000033105,Lss,lanosterol synthase,NCBIGene:16987,
ENSMUSG00000051989,Smim11,small integral membrane protein 11,NCBIGene:68936,
ENSMUSG00000046753,Ccdc66,coiled-coil domain containing 66,NCBIGene:320234,
ENSMUSG00000032051,Fdx1,ferredoxin 1,NCBIGene:14148,
ENSMUSG00000036862,Dchs1,dachsous cadherin related 1,NCBIGene:233651,
ENSMUSG00000029832,Nfe2l3,"nuclear factor, erythroid derived 2, like 3",NCBIGene:18025,
ENSMUSG00000032673,Prorsd1,prolyl-tRNA synthetase domain containing 1,NCBIGene:67939,
ENSMUSG00000023015,Racgap1,Rac GTPase-activating protein 1,NCBIGene:26934,
ENSMUSG00000024958,Gpr137,G protein-coupled receptor 137,NCBIGene:107173,
ENSMUSG00000044788,Fads6,"fatty acid desaturase domain family, member 6",NCBIGene:328035,
ENSMUSG00000021704,Mtx3,metaxin 3,NCBIGene:382793,
ENSMUSG00000073838,Tufm,"Tu translation elongation factor, mitochondrial",NCBIGene:233870,
ENSMUSG00000024485,Slc4a9,"solute carrier family 4, sodium bicarbonate cotransporter, member 9",NCBIGene:240215,
ENSMUSG00000019853,Hebp2,heme binding protein 2,NCBIGene:56016,
ENSMUSG00000048899,Rimkla,ribosomal modification protein rimK-like family member A,NCBIGene:194237,
ENSMUSG00000020116,Pno1,partner of NOB1 homolog,NCBIGene:66249,
ENSMUSG00000038633,Degs1,"delta(4)-desaturase, sphingolipid 1",NCBIGene:13244,
ENSMUSG00000026817,Ak1,adenylate kinase 1,NCBIGene:11636,
ENSMUSG00000066224,Arid3c,AT rich interactive domain 3C (BRIGHT-like),NCBIGene:550619,
ENSMUSG00000082361,Btc,"betacellulin, epidermal growth factor family member",NCBIGene:12223,
ENSMUSG00000045665,Mfsd5,major facilitator superfamily domain containing 5,NCBIGene:106073,
ENSMUSG00000019863,Qrsl1,glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1,NCBIGene:76563,
ENSMUSG00000040253,Gbp7,guanylate binding protein 7,NCBIGene:229900,
ENSMUSG00000049598,Vsig8,V-set and immunoglobulin domain containing 8,NCBIGene:240916,
ENSMUSG00000020432,Tcn2,transcobalamin 2,NCBIGene:21452,
ENSMUSG00000000751,Rpa1,replication protein A1,NCBIGene:68275,
ENSMUSG00000056332,Gm16294,predicted gene 16294,NCBIGene:432945,
ENSMUSG00000045092,S1pr1,sphingosine-1-phosphate receptor 1,NCBIGene:13609,
ENSMUSG00000086607,4930511M06Rik,RIKEN cDNA 4930511M06 gene,NCBIGene:75084,
ENSMUSG00000034063,4930590J08Rik,RIKEN cDNA 4930590J08 gene,NCBIGene:381798,
ENSMUSG00000099413,Gm17767,"predicted gene, 17767",NCBIGene:100045066,
ENSMUSG00000018341,Il12rb2,"interleukin 12 receptor, beta 2",NCBIGene:16162,
ENSMUSG00000040213,Kyat3,kynurenine aminotransferase 3,NCBIGene:229905,
ENSMUSG00000024610,Cd74,"CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)",NCBIGene:16149,
ENSMUSG00000097098,9330111N05Rik,RIKEN cDNA 9330111N05 gene,NCBIGene:319983,
ENSMUSG00000020407,Upp1,uridine phosphorylase 1,NCBIGene:22271,
ENSMUSG00000032523,Hhatl,hedgehog acyltransferase-like,NCBIGene:74770,
ENSMUSG00000073436,Eme2,essential meiotic structure-specific endonuclease subunit 2,NCBIGene:193838,
ENSMUSG00000061878,Sphk1,sphingosine kinase 1,NCBIGene:20698,
ENSMUSG00000108668,Gm32816,"predicted gene, 32816",,
ENSMUSG00000047281,Sfn,stratifin,NCBIGene:55948,
ENSMUSG00000050592,Fam78a,"family with sequence similarity 78, member A",NCBIGene:241303,
ENSMUSG00000061286,Exosc5,exosome component 5,NCBIGene:27998,
ENSMUSG00000056656,Apol8,apolipoprotein L 8,NCBIGene:239552,
ENSMUSG00000111068,Gm35501,"predicted gene, 35501",,
ENSMUSG00000060519,Tor3a,"torsin family 3, member A",NCBIGene:30935,
ENSMUSG00000086939,Gm13530,predicted gene 13530,,
ENSMUSG00000097381,A230087F16Rik,RIKEN cDNA A230087F16 gene,,
ENSMUSG00000098145,Gm26936,"predicted gene, 26936",,
ENSMUSG00000086534,Gm16758,"predicted gene, 16758",,
ENSMUSG00000051977,Prdm9,PR domain containing 9,NCBIGene:213389,
ENSMUSG00000032306,Mpi,mannose phosphate isomerase,NCBIGene:110119,
ENSMUSG00000028716,Pdzk1ip1,PDZK1 interacting protein 1,NCBIGene:67182,
ENSMUSG00000009731,Kcnd1,"potassium voltage-gated channel, Shal-related family, member 1",NCBIGene:16506,
ENSMUSG00000109770,Gm30085,"predicted gene, 30085",,
ENSMUSG00000006386,Tek,TEK receptor tyrosine kinase,NCBIGene:21687,
ENSMUSG00000097626,4921504A21Rik,RIKEN cDNA 4921504A21 gene,NCBIGene:70832,
ENSMUSG00000017664,Slc35c2,"solute carrier family 35, member C2",NCBIGene:228875,
ENSMUSG00000027882,Stxbp3,syntaxin binding protein 3,NCBIGene:20912,
ENSMUSG00000067276,Capn6,calpain 6,NCBIGene:12338,
ENSMUSG00000027774,Gfm1,"G elongation factor, mitochondrial 1",NCBIGene:28030,
ENSMUSG00000027254,Map1a,microtubule-associated protein 1 A,NCBIGene:17754,
ENSMUSG00000062070,Pgk1,phosphoglycerate kinase 1,NCBIGene:18655,
ENSMUSG00000004815,Dgkq,"diacylglycerol kinase, theta",NCBIGene:110524,
ENSMUSG00000091177,Gm15494,predicted gene 15494,,
ENSMUSG00000029056,Pank4,pantothenate kinase 4,NCBIGene:269614,
ENSMUSG00000032786,Alas1,aminolevulinic acid synthase 1,NCBIGene:11655,
ENSMUSG00000108600,Gm32884,"predicted gene, 32884",,
ENSMUSG00000004668,Abca13,"ATP-binding cassette, sub-family A (ABC1), member 13",NCBIGene:268379,
ENSMUSG00000032726,Bmp8a,bone morphogenetic protein 8a,NCBIGene:12163,
ENSMUSG00000022738,Gsc2,goosecoid homebox 2,NCBIGene:195333,
ENSMUSG00000023909,Paqr4,progestin and adipoQ receptor family member IV,NCBIGene:76498,
ENSMUSG00000056632,Dsg3,desmoglein 3,NCBIGene:13512,
ENSMUSG00000033021,Gmppa,GDP-mannose pyrophosphorylase A,NCBIGene:69080,
ENSMUSG00000025194,Abcc2,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2",NCBIGene:12780,
ENSMUSG00000024392,Bag6,BCL2-associated athanogene 6,NCBIGene:224727,
ENSMUSG00000080717,B230307C23Rik,RIKEN cDNA B230307C23 gene,NCBIGene:245305,
ENSMUSG00000110485,Gm45740,predicted gene 45740,,
ENSMUSG00000003868,Ruvbl2,RuvB-like protein 2,NCBIGene:20174,
ENSMUSG00000073067,9130019P16Rik,RIKEN cDNA 9130019P16 gene,NCBIGene:100042056,
ENSMUSG00000030032,Wdr54,WD repeat domain 54,NCBIGene:75659,
ENSMUSG00000018574,Acadvl,"acyl-Coenzyme A dehydrogenase, very long chain",NCBIGene:11370,
ENSMUSG00000026958,Dpp7,dipeptidylpeptidase 7,NCBIGene:83768,
ENSMUSG00000021532,Fastkd3,FAST kinase domains 3,NCBIGene:69577,
ENSMUSG00000105891,A230001M10Rik,RIKEN cDNA A230001M10 gene,NCBIGene:319951,
ENSMUSG00000029408,Abcb9,"ATP-binding cassette, sub-family B (MDR/TAP), member 9",NCBIGene:56325,
ENSMUSG00000115862,Gm41333,"predicted gene, 41333",,
ENSMUSG00000079507,H2-Q1,"histocompatibility 2, Q region locus 1",NCBIGene:15006,
ENSMUSG00000087029,Gm14133,predicted gene 14133,NCBIGene:100503289,
ENSMUSG00000036123,Slc9a3,"solute carrier family 9 (sodium/hydrogen exchanger), member 3",NCBIGene:105243,
ENSMUSG00000075302,Erich2,glutamate rich 2,NCBIGene:66748,
ENSMUSG00000100596,Gm29502,predicted gene 29502,,
ENSMUSG00000020932,Gfap,glial fibrillary acidic protein,NCBIGene:14580,
ENSMUSG00000049526,Tmem202,transmembrane protein 202,NCBIGene:73893,
ENSMUSG00000029925,Tbxas1,"thromboxane A synthase 1, platelet",NCBIGene:21391,
ENSMUSG00000057531,Dtnbp1,dystrobrevin binding protein 1,NCBIGene:94245,
ENSMUSG00000032403,2300009A05Rik,RIKEN cDNA 2300009A05 gene,NCBIGene:69478,
ENSMUSG00000022951,Rcan1,regulator of calcineurin 1,NCBIGene:54720,
ENSMUSG00000032398,Snapc5,"small nuclear RNA activating complex, polypeptide 5",NCBIGene:330959,
ENSMUSG00000016833,Mrps18c,mitochondrial ribosomal protein S18C,NCBIGene:68735,
ENSMUSG00000071655,Ubxn1,UBX domain protein 1,NCBIGene:225896,
ENSMUSG00000024844,Banf1,barrier to autointegration factor 1,NCBIGene:23825,
ENSMUSG00000029265,Dr1,down-regulator of transcription 1,NCBIGene:13486,
ENSMUSG00000020171,Yeats4,YEATS domain containing 4,NCBIGene:64050,
ENSMUSG00000025580,Eif4a3,eukaryotic translation initiation factor 4A3,NCBIGene:192170,
ENSMUSG00000085761,4930455G09Rik,RIKEN cDNA 4930455G09 gene,,
ENSMUSG00000069206,Zfp874a,zinc finger protein 874a,NCBIGene:238692,
ENSMUSG00000020681,Ace,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1,NCBIGene:11421,
ENSMUSG00000072791,Abcb5,"ATP-binding cassette, sub-family B (MDR/TAP), member 5",NCBIGene:77706,
ENSMUSG00000052962,Mrpl35,mitochondrial ribosomal protein L35,NCBIGene:66223,
ENSMUSG00000111258,Gm34397,"predicted gene, 34397",,
ENSMUSG00000032462,Pik3cb,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",NCBIGene:74769,
ENSMUSG00000021936,Mapk8,mitogen-activated protein kinase 8,NCBIGene:26419,
ENSMUSG00000025408,Ddit3,DNA-damage inducible transcript 3,NCBIGene:13198,
ENSMUSG00000039782,Cpeb2,cytoplasmic polyadenylation element binding protein 2,NCBIGene:231207,
ENSMUSG00000020646,Mboat2,membrane bound O-acyltransferase domain containing 2,NCBIGene:67216,
ENSMUSG00000039167,Adgrl4,adhesion G protein-coupled receptor L4,NCBIGene:170757,
ENSMUSG00000035936,Aldh5a1,"aldhehyde dehydrogenase family 5, subfamily A1",NCBIGene:214579,
ENSMUSG00000037960,Card19,"caspase recruitment domain family, member 19",NCBIGene:68480,
ENSMUSG00000067928,Zfp760,zinc finger protein 760,NCBIGene:240034,
ENSMUSG00000057729,Prtn3,proteinase 3,NCBIGene:19152,
ENSMUSG00000110554,Gm35256,"predicted gene, 35256",,
ENSMUSG00000116571,Gm49741,"predicted gene, 49741",,
ENSMUSG00000068686,Cd59b,CD59b antigen,NCBIGene:333883,
ENSMUSG00000049387,Cox7b2,cytochrome c oxidase subunit 7B2,NCBIGene:78174,
ENSMUSG00000031595,Pdgfrl,platelet-derived growth factor receptor-like,NCBIGene:68797,
ENSMUSG00000029851,Tcaf2,TRPM8 channel-associated factor 2,NCBIGene:232748,
ENSMUSG00000097709,2810429I04Rik,RIKEN cDNA 2810429I04 gene,NCBIGene:76937,
ENSMUSG00000046949,Nqo2,N-ribosyldihydronicotinamide quinone reductase 2,NCBIGene:18105,
ENSMUSG00000056692,Ilrun,inflammation and lipid regulator with UBA-like and NBR1-like domains,NCBIGene:224647,
ENSMUSG00000048234,Rnf149,ring finger protein 149,NCBIGene:67702,
ENSMUSG00000042215,Bag2,BCL2-associated athanogene 2,NCBIGene:213539,
ENSMUSG00000008206,Cers4,ceramide synthase 4,NCBIGene:67260,
ENSMUSG00000036966,Spryd3,SPRY domain containing 3,NCBIGene:223918,
ENSMUSG00000035011,Zbtb7a,zinc finger and BTB domain containing 7a,NCBIGene:16969,
ENSMUSG00000029128,Rab28,"RAB28, member RAS oncogene family",NCBIGene:100972,
ENSMUSG00000029661,Col1a2,"collagen, type I, alpha 2",NCBIGene:12843,
ENSMUSG00000023267,Gabrr2,"gamma-aminobutyric acid (GABA) C receptor, subunit rho 2",NCBIGene:14409,
ENSMUSG00000019936,Epyc,epiphycan,NCBIGene:13516,
ENSMUSG00000037578,Pkd2l1,polycystic kidney disease 2-like 1,NCBIGene:329064,
ENSMUSG00000025991,Cps1,carbamoyl-phosphate synthetase 1,NCBIGene:227231,
ENSMUSG00000041789,2700046A07Rik,RIKEN cDNA 2700046A07 gene,NCBIGene:78449,
ENSMUSG00000044501,Zfp758,zinc finger protein 758,NCBIGene:224598,
ENSMUSG00000037962,Rflna,refilin A,NCBIGene:73121,
ENSMUSG00000073755,5730409E04Rik,RIKEN cDNA 5730409E04Rik gene,NCBIGene:230757,
ENSMUSG00000094595,Fsbp,fibrinogen silencer binding protein,NCBIGene:100503583,
ENSMUSG00000078773,Rad54b,RAD54 homolog B (S. cerevisiae),NCBIGene:623474,
ENSMUSG00000052566,Hook2,hook microtubule tethering protein 2,NCBIGene:170833,
ENSMUSG00000053886,Sh2d4a,SH2 domain containing 4A,NCBIGene:72281,
ENSMUSG00000085201,Nr6a1os,"nuclear receptor subfamily 6, group A, member 1, opposite strand",,
ENSMUSG00000020268,Lyrm7,LYR motif containing 7,NCBIGene:75530,
ENSMUSG00000027531,Impa1,inositol (myo)-1(or 4)-monophosphatase 1,NCBIGene:55980,
ENSMUSG00000113669,Gm36723,"predicted gene, 36723",,
ENSMUSG00000044694,2010007H06Rik,RIKEN cDNA 2010007H06 gene,,
ENSMUSG00000024658,Gm9750,predicted gene 9750,,
ENSMUSG00000024132,Eci1,enoyl-Coenzyme A delta isomerase 1,NCBIGene:13177,
ENSMUSG00000036872,Abcc12,"ATP-binding cassette, sub-family C (CFTR/MRP), member 12",NCBIGene:244562,
ENSMUSG00000063972,Nr6a1,"nuclear receptor subfamily 6, group A, member 1",NCBIGene:14536,
ENSMUSG00000021377,Dek,DEK oncogene (DNA binding),NCBIGene:110052,
ENSMUSG00000038301,Snx10,sorting nexin 10,NCBIGene:71982,
ENSMUSG00000036395,Glb1l2,"galactosidase, beta 1-like 2",NCBIGene:244757,
ENSMUSG00000054408,Spcs3,signal peptidase complex subunit 3 homolog (S. cerevisiae),NCBIGene:76687,
ENSMUSG00000042505,Sdhaf3,succinate dehydrogenase complex assembly factor 3,NCBIGene:71238,
ENSMUSG00000048450,Msx1,msh homeobox 1,NCBIGene:17701,
ENSMUSG00000004630,Pcp2,Purkinje cell protein 2 (L7),NCBIGene:18545,
ENSMUSG00000023047,Amhr2,anti-Mullerian hormone type 2 receptor,NCBIGene:110542,
ENSMUSG00000064202,4430402I18Rik,RIKEN cDNA 4430402I18 gene,NCBIGene:381218,
ENSMUSG00000087259,2610035D17Rik,RIKEN cDNA 2610035D17 gene,,
ENSMUSG00000034101,Ctnnd1,"catenin (cadherin associated protein), delta 1",NCBIGene:12388,
ENSMUSG00000035458,Tnni3,"troponin I, cardiac 3",NCBIGene:21954,
ENSMUSG00000021253,Tgfb3,"transforming growth factor, beta 3",NCBIGene:21809,
ENSMUSG00000023074,Mospd1,motile sperm domain containing 1,NCBIGene:70380,
ENSMUSG00000022889,Mrpl39,mitochondrial ribosomal protein L39,NCBIGene:27393,
ENSMUSG00000040472,Rabggta,"Rab geranylgeranyl transferase, a subunit",NCBIGene:56187,
ENSMUSG00000090546,Cdr1,cerebellar degeneration related antigen 1,,
ENSMUSG00000075304,Sp5,trans-acting transcription factor 5,NCBIGene:64406,
ENSMUSG00000091402,Rd3l,retinal degeneration 3-like,NCBIGene:217874,
ENSMUSG00000032281,Acsbg1,acyl-CoA synthetase bubblegum family member 1,NCBIGene:94180,
ENSMUSG00000074358,Ccdc61,coiled-coil domain containing 61,NCBIGene:232933,
ENSMUSG00000019845,Tube1,epsilon-tubulin 1,NCBIGene:71924,
ENSMUSG00000015980,Lrrc27,leucine rich repeat containing 27,NCBIGene:76612,
ENSMUSG00000052854,Nrk,Nik related kinase,NCBIGene:27206,
ENSMUSG00000115474,4930430F21Rik,RIKEN cDNA 4930430F21 gene,NCBIGene:73784,
ENSMUSG00000099364,5730419F03Rik,RIKEN cDNA 5730419F03 gene,,
ENSMUSG00000091511,Vmn2r87,"vomeronasal 2, receptor 87",NCBIGene:625131,
ENSMUSG00000110803,Gm20275,"predicted gene, 20275",NCBIGene:100504539,
ENSMUSG00000109561,Ankrd31,ankyrin repeat domain 31,NCBIGene:625662,
ENSMUSG00000027242,Wdr76,WD repeat domain 76,NCBIGene:241627,
